id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
aba97c1c-96b4-4a52-8b72-a185512a691c;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2021-03-12T00:42:48;71649;71090
a94d0577-762c-4521-a8d8-5e58028cf827;Ignatius;Champlin;Eunice20@gmail.com;specifically alarm;2021-03-12T11:43:05;36788;33070
feca2329-8f2b-4642-b5f8-a873f614018a;Johann;Willms;Dejon3@yahoo.com;Uruguayo;2021-03-12T11:58:19;16398;79591
af23326e-d0b3-4233-8c07-36c909910e51;Casper;Hayes;Macey0@gmail.com;Rustic Operations;2021-03-12T15:23:28;92240;60954
f1b72071-9865-4a88-bae6-32c6364a8ab1;Derrick;Barton;Adelle93@yahoo.com;Unbranded BEAC;2021-03-12T00:01:43;85255;68150
35ed01e5-06ae-4bba-8c00-01e028426bd1;Felton;Jones;Price.Hansen@hotmail.com;Salad;2021-03-12T09:49:27;71228;88991
f630d313-0169-45a4-80fe-ffbc2ce8d091;Rasheed;Davis;Rachelle15@gmail.com;supply-chains;2021-03-12T19:42:51;37745;55895
ba6fefda-e193-4004-90c2-0ccff6e074a6;Rahul;Friesen;Danika.Kutch@hotmail.com;Frozen;2021-03-12T18:27:32;66116;23769
67858357-d741-4f0d-9d98-fc5bacc523dc;Carlie;Brown;Gianni.Gleason13@hotmail.com;Principal bleeding-edge override;2021-03-12T04:23:32;52126;11540
4b683c50-c204-40c1-a765-56e85be1798a;Constance;Stehr;Alisha.Gaylord0@yahoo.com;mint;2021-03-12T09:31:07;26455;67593
